layer,time,testing_accuracy,ALGO
1,0.25472378730773926,99.5771543086,FA
5,0.2546849250793457,99.25250501,FA
10,0.20391511917114258,99.244488978,FA
15,0.2728548049926758,99.25250501,FA
20,0.3195157051086426,99.244488978,FA
25,0.19570016860961914,99.25250501,FA
50,0.2771577835083008,99.244488978,FA
1,0.23504114151000977,99.4809619238,ICA
5,0.23848509788513184,99.4809619238,ICA
10,0.08305001258850098,99.4809619238,ICA
15,0.23985004425048828,99.3446893788,ICA
20,0.2473430633544922,99.378757515,ICA
25,0.2836918830871582,99.2665330661,ICA
50,0.42495298385620117,99.2825651303,ICA
1,0.25465989112854004,99.2565130261,PCA
5,0.26384878158569336,99.2565130261,PCA
10,0.24700498580932617,99.2244488978,PCA
15,0.2539238929748535,99.2244488978,PCA
20,0.2917909622192383,99.2264529058,PCA
25,0.27144289016723633,99.2264529058,PCA
50,0.4340980052947998,99.2224448898,PCA
1,0.2263808250427246,99.5991983968,RP
5,0.2791628837585449,99.4549098196,RP
10,0.16761493682861328,99.4509018036,RP
15,0.1506197452545166,99.4388777555,RP
20,0.11298608779907227,99.4468937876,RP
25,0.14871764183044434,99.4188376754,RP
50,0.15621185302734375,99.4308617234,RP
1,0.01,88.1279,Original NN
5,1.64,95.6621,Original NN
10,1.36,98.1735,Original NN
15,1.29,99.3151,Original NN
20,1.83,97.2603,Original NN
25,2.25,99.316,Original NN
50,4.74,99.5434,Original NN
